# Coluna1	Coluna2	Coluna3
-0.05550	-0.04038	0.00666
-0.05538	-0.04029	0.00714
-0.05510	-0.03985	0.00930
-0.05560	-0.03892	0.01009
-0.05522	-0.03942	0.00950
-0.05579	-0.03990	0.01013
-0.05655	-0.03972	0.01114
-0.05635	-0.03980	0.01090
-0.05635	-0.03980	0.01090
-0.05648	-0.03974	0.01047
-0.05609	-0.03992	0.01176
-0.05569	-0.04005	0.01319
-0.05565	-0.03985	0.01375
-0.05565	-0.03985	0.01375
-0.05578	-0.03979	0.01332
-0.05539	-0.03997	0.01461
-0.05500	-0.04015	0.01590
-0.05500	-0.04015	0.01590
-0.05476	-0.04083	0.01546
-0.05584	-0.04079	0.01502
-0.05698	-0.04058	0.01469
-0.05660	-0.04065	0.01480
-0.05660	-0.04065	0.01480
-0.05660	-0.04065	0.01480
-0.05661	-0.04070	0.01466
-0.05696	-0.04048	0.01497
-0.05579	-0.04054	0.01572
-0.05085	-0.04145	0.01715
-0.04743	-0.04208	0.01814
-0.04819	-0.04194	0.01792
-0.04933	-0.04173	0.01759
-0.04887	-0.04157	0.01761
-0.04855	-0.04065	0.01725
-0.04865	-0.04046	0.01674
-0.05050	-0.03932	0.02072
-0.05527	-0.04812	0.02432
-0.05833	-0.05873	0.02453
-0.05685	-0.05295	0.02445
-0.05685	-0.05295	0.02445
-0.05865	-0.05283	0.02385
-0.06045	-0.05271	0.02325
-0.05931	-0.05262	0.02376
-0.05715	-0.05210	0.02500
-0.05795	-0.04814	0.02236
-0.05815	-0.04715	0.02170
-0.05815	-0.04715	0.02170
-0.05815	-0.04715	0.02170
-0.05815	-0.04715	0.02170
-0.05815	-0.04715	0.02170
-0.05846	-0.04801	0.02182
-0.05753	-0.04543	0.02146
-0.05660	-0.04285	0.02110
-0.05660	-0.04285	0.02110
-0.05680	-0.04197	0.02210
-0.05685	-0.04175	0.02235
-0.05723	-0.04168	0.02224
-0.05659	-0.04087	0.02229
-0.05555	-0.03735	0.02205
-0.05593	-0.03728	0.02194
-0.05289	-0.03784	0.02282
-0.05213	-0.03798	0.02304
-0.05403	-0.03763	0.02249
-0.05365	-0.03770	0.02260
-0.05403	-0.03793	0.02375
-0.05553	-0.04048	0.02426
-0.05646	-0.04306	0.02462
-0.05621	-0.04203	0.02461
-0.05645	-0.04135	0.02505
-0.05637	-0.04095	0.02617
-0.05822	-0.04097	0.02569
-0.06010	-0.04141	0.02648
-0.06179	-0.04198	0.02689
-0.06395	-0.04250	0.02565
-0.06539	-0.04586	0.02637
-0.06574	-0.04685	0.02650
-0.06582	-0.04638	0.02671
-0.06597	-0.04589	0.02759
-0.06565	-0.04605	0.02955
-0.06565	-0.04605	0.02955
-0.06560	-0.04607	0.02949
-0.06575	-0.04601	0.02967
-0.06621	-0.04681	0.02997
-0.06745	-0.05025	0.03045
-0.06849	-0.05033	0.03317
-0.06922	-0.05005	0.03687
-0.06926	-0.04952	0.03943
-0.06925	-0.04950	0.03925
-0.06925	-0.04950	0.03925
-0.06925	-0.04950	0.03925
-0.06938	-0.04944	0.03882
-0.06899	-0.04962	0.04011
-0.06843	-0.04900	0.04148
-0.06775	-0.04580	0.04180
-0.06775	-0.04580	0.04180
-0.06775	-0.04580	0.04180
-0.06775	-0.04580	0.04180
-0.06775	-0.04580	0.04180
-0.06775	-0.04580	0.04180
-0.06719	-0.04584	0.04408
-0.06905	-0.04622	0.04488
-0.07084	-0.04696	0.04527
-0.06981	-0.04715	0.04611
-0.06980	-0.04710	0.04625
-0.06928	-0.04734	0.04797
-0.06946	-0.04826	0.04852
-0.06827	-0.04580	0.04902
-0.06696	-0.04345	0.04981
-0.06700	-0.04365	0.04925
-0.06648	-0.04389	0.05097
-0.06635	-0.04395	0.05140
-0.06609	-0.04407	0.05226
-0.06570	-0.04425	0.05355
-0.06570	-0.04425	0.05355
-0.06570	-0.04425	0.05355
-0.06545	-0.04443	0.05336
-0.06692	-0.04425	0.05297
-0.06810	-0.04397	0.05284
-0.06790	-0.04405	0.05260
-0.06790	-0.04405	0.05260
-0.06882	-0.04658	0.05310
-0.06978	-0.04931	0.05304
-0.06950	-0.04860	0.05250
-0.06950	-0.04860	0.05250
-0.06950	-0.04860	0.05250
-0.06911	-0.04878	0.05379
-0.06872	-0.04896	0.05508
-0.06831	-0.04877	0.05496
-0.06615	-0.04825	0.05620
-0.06615	-0.04825	0.05620
-0.06729	-0.04804	0.05587
-0.06843	-0.04783	0.05554
-0.06805	-0.04790	0.05565
-0.06805	-0.04790	0.05565
-0.06805	-0.04790	0.05565
-0.06847	-0.04808	0.05625
-0.06889	-0.04826	0.05685
-0.06844	-0.04734	0.05653
-0.06720	-0.04390	0.05605
-0.06772	-0.04366	0.05433
-0.06767	-0.04411	0.05357
-0.06749	-0.04462	0.05324
-0.06755	-0.04445	0.05335
-0.06755	-0.04445	0.05335
-0.06755	-0.04445	0.05335
-0.06755	-0.04445	0.05335
-0.06755	-0.04445	0.05335
-0.06755	-0.04445	0.05335
-0.06755	-0.04445	0.05335
-0.06693	-0.04520	0.05302
-0.06832	-0.04602	0.05270
-0.06359	-0.04414	0.05344
-0.05772	-0.04247	0.05451
-0.06000	-0.04205	0.05385
-0.06038	-0.04198	0.05374
-0.05837	-0.04161	0.05492
-0.05678	-0.04137	0.05543
-0.05729	-0.04182	0.05459
-0.05705	-0.04250	0.05415
-0.05857	-0.04222	0.05371
-0.05895	-0.04215	0.05360
-0.05895	-0.04215	0.05360
-0.05881	-0.04209	0.05340
-0.05825	-0.04185	0.05260
-0.05794	-0.04099	0.05248
-0.05991	-0.04700	0.05306
-0.06268	-0.05305	0.05468
-0.06479	-0.05438	0.05624
-0.06545	-0.05345	0.05775
-0.06530	-0.05351	0.05757
-0.06515	-0.05357	0.05739
-0.06520	-0.05355	0.05745
-0.06558	-0.05348	0.05734
-0.06710	-0.05320	0.05690
-0.06710	-0.05320	0.05690
-0.06718	-0.05343	0.05699
-0.06694	-0.05274	0.05672
-0.06670	-0.05205	0.05645
-0.06670	-0.05205	0.05645
-0.06632	-0.05212	0.05656
-0.06898	-0.05163	0.05579
-0.06518	-0.05233	0.05689
-0.05921	-0.05367	0.05839
-0.06345	-0.05385	0.05625
-0.06387	-0.05398	0.05558
-0.06368	-0.05359	0.05588
-0.06386	-0.05308	0.05621
-0.06380	-0.05325	0.05610
